Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
MothersonSumi INfotech & Designs,3.3,547,IT Services & Consulting,Noida +16 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Wipro Digital,3.6,548,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Caparo Engineering India,4.0,547,Auto Components,Chennai +35 other locations,"Work Life Balance, Skill Development / Learning, Job Security",None
Alshaya Group,3.9,546,Retail,Bangalore / Bengaluru +27 other locations,Work Life Balance,Promotions / Appraisal
Rockwell Automation,3.8,546,Industrial Automation,Pune +19 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
UnitedLex,3.1,547,Legal,New Delhi +7 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Satya MicroCapital,3.7,546,Financial Services,New Delhi +132 other locations,Salary & Benefits,"Work Life Balance, Work Satisfaction, Company Culture"
Aequs,3.6,546,Defence & Aerospace,Belgaum +11 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Bridge & Roof Co,3.5,545,Engineering & Construction,Kolkata +61 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
RR kabel,4.1,546,Electrical Equipment,Vadodara +92 other locations,"Job Security, Work Life Balance, Company Culture",None
India Japan Lighting,4.3,548,Auto Components,Chennai +29 other locations,"Company Culture, Work Life Balance, Job Security",None
Ather Energy,4.0,545,Automobile,Bangalore / Bengaluru +48 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Welspun World,3.7,544,Building Material,Mumbai +48 other locations,None,Promotions / Appraisal
Lambda Therapeutic Research,4.6,544,Clinical Research,Ahmedabad +7 other locations,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",None
PrimEra Medical Technologies,3.8,544,IT Services & Consulting,Hyderabad / Secunderabad +8 other locations,Job Security,Promotions / Appraisal
Veritas,4.0,545,Software Product,Pune +41 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
