Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Udaan Express,4.2,96,New Delhi +45 other locations,Unknown,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Job Security
Mallcom,3.8,96,BPO,Kolkata +9 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Frontline NCR Business Solutions,3.5,96,Facility Management Services,New Delhi +23 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Kruger Ventilation Industries,3.5,96,Industrial Machinery,Mumbai +11 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Integral University,3.9,96,Education & Training,Lucknow +5 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Overseas Cyber Technical Services Private Limited,4.8,96,IT Services & Consulting,Karaikudi +1 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",None
Spinks Softech,4.3,96,Auto Components,Chennai +8 other locations,"Skill Development / Learning, Job Security, Work Satisfaction",Salary & Benefits
Bengal Energy,3.7,97,Power,Kharagpur +6 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Meena Bazaar,3.5,96,Fashion & Textile,New Delhi +16 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Ramkrishna Care Hospital,3.7,96,Healthcare,Raipur +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Bdh Industries,4.7,96,Pharma,Mumbai +4 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",None
CG Corp Global,3.5,97,Gurgaon / Gurugram +15 other locations,Unknown,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tekshapers Software Solutions,3.2,96,IT Services & Consulting,Noida +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Birla Opus Paints,3.7,99,Mumbai +50 other locations,Unknown,Skill Development / Learning,Promotions / Appraisal
SoftProdigy System Solutions,3.9,96,IT Services & Consulting,Mohali +1 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Oremus Corporate Services,3.6,96,Financial Services,Hyderabad / Secunderabad +2 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Rabwin Industries,3.6,96,Industrial Machinery,Coimbatore +2 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Vertex Homes,3.5,96,Real Estate,Hyderabad / Secunderabad +2 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Bell Finvest,2.6,96,NBFC,Mumbai +44 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Allzone Management Solutions,4.2,96,Healthcare,Chennai +3 other locations,"Job Security, Work Satisfaction, Work Life Balance",None
Cube Construction Engineering,3.5,96,Engineering & Construction,Vadodara +10 other locations,None,"Salary & Benefits, Company Culture, Promotions / Appraisal"
Anand Engineering Products,3.6,97,Engineering & Construction,Tiruchirappalli +6 other locations,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance"
MediaTek India Technology,4.0,96,Semiconductors,Noida +6 other locations,"Job Security, Work Life Balance",None
Learnbay,4.0,97,Bangalore / Bengaluru +3 other locations,Unknown,"Salary & Benefits, Work Life Balance, Company Culture",None
Lanarsy Infra,3.1,95,Engineering & Construction,Hyderabad / Secunderabad +11 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Unimark Remedies,3.0,95,Pharma,Vapi +10 other locations,None,"Company Culture, Salary & Benefits, Work Satisfaction"
Ags Infotech,4.3,95,IT Services & Consulting,Hyderabad / Secunderabad +6 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Ajax Fiori Engineering,3.9,95,Engineering & Construction,Bangalore / Bengaluru +23 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
FranchiseTrade,4.4,95,Management Consulting,New Delhi +1 other locations,"Skill Development / Learning, Promotions / Appraisal, Salary & Benefits",None
WaterHealth International,4.0,95,Waste Management,Hyderabad / Secunderabad +12 other locations,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits"
Equate Petrochemical,4.8,95,Petrochemicals,Chennai +12 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
PSRI Hospital,3.8,95,Healthcare,New Delhi +2 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
ElringKlinger AG,3.5,95,Auto Components,Pune +4 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Tilaknagar Industries Ltd.,3.8,95,Beverage,Mumbai +14 other locations,None,Skill Development / Learning
Classic Stripes,3.8,95,Auto Components,Mumbai +9 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
GS Engineering,3.7,95,Engineering & Construction,Mumbai +17 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
Vatsal Technosoft,4.3,95,IT Services & Consulting,Ahmedabad +6 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Entercoms,2.8,95,Management Consulting,Pune +3 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Metro Shoes,4.3,95,Fashion & Textile,Mumbai +28 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Freedom English Academy,4.1,95,Education & Training,New Delhi +12 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
National Sample Survey Office (nsso),3.8,95,Government,Kolkata +51 other locations,None,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Government of Kerala,3.8,95,Government,Thiruvananthapuram +22 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
MS Education Academy,3.6,95,Education & Training,Hyderabad / Secunderabad +17 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Eben Telecom,3.4,95,Telecom,Kochi +7 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Shivashakti Bio Technologies,4.2,95,Biotechnology,Hyderabad / Secunderabad +23 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Elysium Pharmaceuticals,3.5,95,Pharma,Vadodara +2 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Gram Tarang Employability Training Services,3.5,95,Recruitment,Bhubaneswar +22 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Job Security"
Netxcell,3.4,95,Telecom,Hyderabad / Secunderabad +11 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Anyone Home,3.9,95,Internet,Pune +21 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",None
The Judge Group,3.2,95,Recruitment,Noida +6 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
JSS Medical Research,3.3,95,Clinical Research,New Delhi +14 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Orris Infrastructure,4.3,95,Real Estate,Gurgaon / Gurugram +2 other locations,"Salary & Benefits, Work Satisfaction, Work Life Balance",None
Transworld Group of Companies,3.8,95,Logistics,Mumbai +17 other locations,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security"
Tupperware,3.6,95,Retail,Dehradun +18 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Oswal Industries,3.6,95,Financial Services,Ahmedabad +8 other locations,None,"Company Culture, Work Satisfaction, Promotions / Appraisal"
Futurism Technologies,3.2,95,IT Services & Consulting,Pune,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Farbe Firma Private Limited,4.1,95,Pharma,Ankleshwar +3 other locations,"Skill Development / Learning, Job Security, Work Satisfaction",None
Premier Irrigation Adritec,3.5,95,Agriculture,Kolkata +19 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Electrostar Electronics,4.0,95,Noida +44 other locations,Unknown,Skill Development / Learning,Promotions / Appraisal
ICG Medical,2.3,95,Recruitment,Gurgaon / Gurugram +3 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
DEC Property Management,4.5,95,Facility Management Services,New Delhi +13 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
AGP City Gas,3.6,95,Chennai +22 other locations,Unknown,None,"Job Security, Company Culture, Work Satisfaction"
Pan Seeds,3.5,95,Agriculture,Kolkata +23 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Pentair Water India,4.1,95,Industrial Machinery,Noida +8 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
ClinicAnywhere,3.3,95,Bangalore / Bengaluru +7 other locations,Unknown,None,"Job Security, Company Culture, Promotions / Appraisal"
J.K. Helene Curtis,4.3,95,Fashion & Textile,Mumbai +31 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
Sarvatra Technologies,4.3,95,FinTech,Pune +9 other locations,"Job Security, Company Culture, Work Life Balance",None
Ind Synergy,3.8,95,Engineering & Construction,Raigarh +9 other locations,None,Promotions / Appraisal
mPHATEK Systems,3.6,95,IT Services & Consulting,Pune +3 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Vi-son Industries,3.7,95,Industrial Machinery,Pune +12 other locations,None,"Salary & Benefits, Promotions / Appraisal"
Gits Food Products,4.1,95,FMCG,Pune +27 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Cxc Infotech,3.6,95,Financial Services,Noida +2 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Abhyudaya Co-operative Bank,4.1,95,Banking,Mumbai +12 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Shreeja Mahila Milk Producer Company,4.4,95,Food Processing,Tirupati +14 other locations,"Company Culture, Work Life Balance, Job Security",None
Lumens Technologies,4.0,96,Semiconductors,Bangalore / Bengaluru +6 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
ProProfs,3.7,95,Software Product,Noida +2 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Axis Mutual Fund,3.9,95,Financial Services,Mumbai +32 other locations,Job Security,None
Jindal Stainless Steelway,3.9,95,Iron & Steel,Gurgaon / Gurugram +17 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Indo European Educational Services,4.0,95,Education & Training,New Delhi +7 other locations,"Skill Development / Learning, Job Security, Work Life Balance",None
Krishna Enterprises,4.2,95,Industrial Machinery,Faridabad +36 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
Epicu Agro Products,3.2,95,Food Processing,Ambala +20 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Nesto Hypermarket,3.9,95,Kozhikode +17 other locations,Unknown,Job Security,None
Omni Hospital,4.2,95,Healthcare,Hyderabad / Secunderabad +7 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
Chumbak Design,3.5,95,Retail,Bangalore / Bengaluru +21 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Paychex IT Solutions India,4.1,95,Software Product,Bangalore / Bengaluru +2 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
SKDRDP,4.2,95,Non-Profit,Bangalore / Bengaluru +38 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Infotree Global Solutions,4.1,95,Jammu +7 other locations,Unknown,"Work Life Balance, Company Culture, Salary & Benefits",None
DigitalTrack Solutions,4.0,95,IT Services & Consulting,Chennai +10 other locations,Skill Development / Learning,Promotions / Appraisal
Dexian DISYS,4.2,95,Chennai +7 other locations,Unknown,"Salary & Benefits, Company Culture, Skill Development / Learning",None
MENSA,3.1,95,Investment Banking / Venture Capital / Private Equity,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Job Security, Work Life Balance"
PeopleStrong Technologies,3.5,95,Software Product,Gurgaon / Gurugram +6 other locations,None,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
IXAR,3.5,94,Oil & Gas,Mumbai +9 other locations,None,"Promotions / Appraisal, Company Culture, Work Life Balance"
Hager Electro,3.3,94,Electrical Equipment,Pune +12 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
KIIT University,4.4,94,Education & Training,Bhubaneswar +6 other locations,"Job Security, Skill Development / Learning, Work Satisfaction",None
The Grand New Delhi,4.1,94,Hospitality,New Delhi +5 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Imedx Information Services,3.3,95,IT Services & Consulting,Hyderabad / Secunderabad +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Raja Software Labs,3.5,93,IT Services & Consulting,Pune +1 other locations,None,"Job Security, Work Life Balance, Work Satisfaction"
Gems Education,3.7,94,Education & Training,Gurgaon / Gurugram +19 other locations,"Skill Development / Learning, Job Security","Promotions / Appraisal, Work Life Balance"
Sumtotal Systems,4.0,94,IT Services & Consulting,Hyderabad / Secunderabad,"Company Culture, Work Life Balance, Salary & Benefits",None
Basavatarakam Indo American Cancer Hospital Research Institute,4.4,94,Healthcare,Hyderabad / Secunderabad +5 other locations,"Job Security, Work Satisfaction, Skill Development / Learning",None
SJS Enterprises,3.6,94,Auto Components,Bangalore / Bengaluru +6 other locations,None,"Promotions / Appraisal, Work Life Balance"
Prozo Distribution,3.4,95,Gurgaon / Gurugram +18 other locations,Unknown,None,"Job Security, Work Life Balance, Promotions / Appraisal"
Emirates Global Aluminium,4.2,94,Metals & Mining,Dubai +6 other locations,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Euclid Innovations,3.6,94,IT Services & Consulting,Hyderabad / Secunderabad +4 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Job Security"
XYXX Apparels,4.1,94,Fashion & Textile,Mumbai +22 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
RSP Design Consultants,3.8,94,Architecture & Interior Design,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Company Culture, Work Life Balance"
Plaza Premium Lounge,4.4,94,Hospitality,New Delhi +10 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
OVT India,3.7,95,Electrical Equipment,Noida +4 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Paras Spices,3.9,95,Food Processing,Moga +10 other locations,"Work Life Balance, Salary & Benefits",None
BML Munjal University,4.1,94,Education & Training,Gurgaon / Gurugram +6 other locations,"Work Life Balance, Company Culture, Job Security",None
Kalpa Electrikal,3.5,94,Electrical Equipment,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Donaldson India Filter Systems,4.2,95,Industrial Machinery,Gurgaon / Gurugram +5 other locations,"Work Life Balance, Salary & Benefits, Job Security","Promotions / Appraisal, Skill Development / Learning"
Grivaa Capital,4.4,94,Financial Services,New Delhi +2 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",None
Oxford International Education Group,4.7,94,Mumbai,Unknown,"Skill Development / Learning, Company Culture, Work Satisfaction",None
iB Arts,4.2,94,Kolkata +2 other locations,Unknown,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Indus International School,4.0,95,Education & Training,Pune +8 other locations,"Salary & Benefits, Skill Development / Learning",None
Goldmine Advertising,3.8,94,Marketing & Advertising,Mumbai +6 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Orient Fashions,4.1,94,Fashion & Textile,New Delhi +3 other locations,"Job Security, Work Life Balance, Work Satisfaction",None
Crimsoune Club,4.1,94,Fashion & Textile,New Delhi +26 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Pai International Electronics,4.2,94,Electronics Manufacturing,Bangalore / Bengaluru +15 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Nelson Global Products,3.9,94,Industrial Machinery,Pune +11 other locations,None,None
IMS Learning Resources,3.6,94,Education & Training,Mumbai +26 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
VHB Life Sciences Limited,3.4,94,Pharma,Mumbai +21 other locations,None,"Work Satisfaction, Salary & Benefits, Promotions / Appraisal"
Municipal Council,4.3,94,New Delhi +57 other locations,Unknown,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Dewar's Garage,3.5,95,Automobile,Kolkata,None,"Company Culture, Promotions / Appraisal, Work Satisfaction"
ZenQ,4.2,94,IT Services & Consulting,Hyderabad / Secunderabad +1 other locations,"Job Security, Company Culture, Work Life Balance",None
Velan Info Services,3.9,95,IT Services & Consulting,Coimbatore +2 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
LNJ Bhilwara Group,3.7,95,Fashion & Textile,Noida +22 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Orient Blackswan,4.2,94,Printing & Publishing,Hyderabad / Secunderabad +19 other locations,"Job Security, Work Life Balance, Work Satisfaction",None
Madura Fashion & Lifestyle,3.9,94,Bangalore / Bengaluru +29 other locations,Unknown,"Company Culture, Salary & Benefits",Promotions / Appraisal
Sandvik Coromant,4.3,95,Industrial Machinery,Pune +7 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",None
Akshaya,3.5,94,Real Estate,Chennai +11 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
SecUR Credentials,2.6,94,Recruitment,Mumbai +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Bioworld Merchandising,3.9,94,Retail,Gurgaon / Gurugram +7 other locations,Work Life Balance,None
Globsyn Business School,4.2,94,Education & Training,Kolkata +1 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Sitec Labs,4.0,95,Pharma,Mumbai +2 other locations,"Job Security, Company Culture, Salary & Benefits",None
Princeware,3.6,94,Petrochemicals,Mumbai +18 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Intelegencia,3.5,94,IT Services & Consulting,Noida +5 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Sportz Interactive,3.2,94,Gaming,Mumbai +3 other locations,None,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Central Electronics,3.5,94,Government,Ghaziabad +7 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Job Security"
TTK Services,3.8,94,Internet,Bangalore / Bengaluru +11 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
B.L. Harbert International,3.3,94,Engineering & Construction,New Delhi +12 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Company Culture"
Kion India,3.7,94,Industrial Machinery,Pune +12 other locations,None,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Nava Bharath Fertilizers,4.3,94,Agro Chemicals,Hyderabad / Secunderabad +33 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
vSplash Techlabs,2.5,94,IT Services & Consulting,Hyderabad / Secunderabad,None,"Work Life Balance, Work Satisfaction, Company Culture"
Seagate,3.4,94,Hardware & Networking,Pune +5 other locations,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Dish Network,3.5,95,Telecom,Bangalore / Bengaluru +6 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Ametek Instruments India,3.6,94,Electrical Equipment,Bangalore / Bengaluru +13 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Volansys Technologies,3.4,94,IT Services & Consulting,Ahmedabad +2 other locations,None,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal"
Ministry Of Education,3.9,94,Government,New Delhi +12 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
Saraswati Vidya Mandir,4.2,94,Education & Training,New Delhi +44 other locations,"Skill Development / Learning, Job Security, Company Culture",None
ABIL Group,4.1,94,Real Estate,Pune +1 other locations,"Work Life Balance, Job Security, Company Culture",None
Swan Enterprises,3.3,94,Industrial Machinery,Ludhiana +9 other locations,None,"Salary & Benefits, Work Satisfaction, Company Culture"
Shiv Nadar University,3.9,94,Education & Training,New Delhi +11 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning"
Madhu Silica,3.8,94,Metals & Mining,Bhavnagar +1 other locations,None,"Company Culture, Job Security, Work Satisfaction"
@home,4.4,94,Furniture & Furnishing,Bangalore / Bengaluru +26 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",None
Pravin Masalewale,4.2,94,Food Processing,Pune +20 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Ghaziabad Precision Products,3.5,94,Automobile,Ghaziabad +8 other locations,None,"Job Security, Company Culture, Work Satisfaction"
OSI Technologies,3.6,94,IT Services & Consulting,Hyderabad / Secunderabad +7 other locations,Skill Development / Learning,None
Nangia & Co. LLP,3.9,94,Accounting & Auditing,New Delhi +13 other locations,"Work Life Balance, Job Security",None
Archer Transnational Systems,3.6,94,Vadodara,Unknown,None,Promotions / Appraisal
Jamia Millia Islamia,4.3,94,Education & Training,New Delhi +6 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
National Dairy Development Board,4.1,94,Food Processing,Anand +18 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Wysetek Systems Technologists,3.7,94,IT Services & Consulting,Mumbai +9 other locations,None,"Work Satisfaction, Work Life Balance"
Colan Infotech,3.9,94,IT Services & Consulting,Chennai +5 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Cello,3.0,94,Retail,Mumbai +20 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Devon Software Services,4.0,95,IT Services & Consulting,Bangalore / Bengaluru +2 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Vee Gee Auto Components,3.9,95,Ahmedabad +7 other locations,Unknown,Skill Development / Learning,None
DANA Graziano India,4.1,94,Ahmedabad +10 other locations,Unknown,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Abacus Staffing & Services,3.7,94,Recruitment,Hyderabad / Secunderabad +10 other locations,None,"Job Security, Promotions / Appraisal"
Linedata,3.6,94,Internet,Mumbai +5 other locations,Company Culture,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Kabra Extrusion Technik,3.9,94,Industrial Machinery,Pune +10 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Patel Motors,3.9,94,Auto Components,Indore +6 other locations,None,"Promotions / Appraisal, Work Satisfaction"
Mintifi Finserve,3.6,94,Mumbai +47 other locations,Unknown,None,"Company Culture, Work Life Balance, Promotions / Appraisal"
Artson Engineering,4.1,94,Engineering & Construction,Hyderabad / Secunderabad +17 other locations,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal
Annapurna Group,3.8,97,FMCG,Guwahati +13 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
LeapScholar,3.5,94,Bangalore / Bengaluru +9 other locations,Unknown,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Krishna Buildestates,3.9,94,New Delhi +8 other locations,Unknown,Skill Development / Learning,None
Sms Integrated Facility Services,4.2,94,Facility Management Services,Mumbai +21 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Mac Chem Products,3.3,94,Pharma,Mumbai +5 other locations,None,"Job Security, Promotions / Appraisal, Work Life Balance"
Ddrc Srl Diagnostics,3.8,94,Healthcare,Kochi +13 other locations,None,"Salary & Benefits, Promotions / Appraisal"
Radixweb,3.1,No reviews,IT Services & Consulting,Ahmedabad +2 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
AlgoLeap Technologies,4.3,94,Emerging Technologies,Hyderabad / Secunderabad +3 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
Steelcase Asia Pacific Holdings India,3.7,94,Furniture & Furnishing,Pune +9 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Aarti Pharmalabs,3.7,95,Pharma,Mumbai +10 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Sv Edusports,4.3,94,Sports & Recreation,Bangalore / Bengaluru +27 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",None
Bambino Pasta Food Industries,4.0,94,Food Processing,Hyderabad / Secunderabad +27 other locations,Work Life Balance,Promotions / Appraisal
Cryptograph Technologies,4.3,94,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
SILA Group (India),3.5,95,Internet,Mumbai +13 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Mtandt,3.8,94,Industrial Machinery,Chennai +11 other locations,None,Promotions / Appraisal
Aarthi Scans and Labs,3.6,94,Healthcare,Chennai +13 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Institute of Liver & Biliary Sciences,4.1,93,Education & Training,New Delhi,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Foodlink F&B Holdings,3.9,93,Hospitality,Mumbai +11 other locations,None,None
Blue Dart Aviation,4.1,93,Aviation,Chennai +14 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Uttam Toyota,4.5,93,Automobile,New Delhi +6 other locations,"Job Security, Work Life Balance, Work Satisfaction",None
Grohe,4.2,93,Architecture & Interior Design,Gurgaon / Gurugram +31 other locations,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal
Brihanmumbai Electric Supply And Transport,4.2,93,Urban Transport,Mumbai +2 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
SIMA Labs,4.3,93,Waste Management,New Delhi +10 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
Funskool India,3.7,92,Other,Chennai +14 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Capricot Technologies,3.4,93,IT Services & Consulting,Bangalore / Bengaluru +5 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
BEEU TECH,4.9,93,IT Services & Consulting,Kolkata +1 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Toppscholars,3.3,93,EdTech,Mumbai +11 other locations,None,"Work Satisfaction, Company Culture, Job Security"
Aamby Valley City,3.4,94,Real Estate,Pune +7 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Batliboi,4.1,93,Industrial Machinery,Surat +13 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Sterling Accuris Wellness,4.2,93,Healthcare,Ahmedabad +14 other locations,"Work Life Balance, Job Security, Company Culture",None
Shivaami Cloud Services,3.8,93,IT Services & Consulting,Mumbai +4 other locations,None,Promotions / Appraisal
S K Samanta & Co,3.6,94,Engineering & Construction,Kolkata +7 other locations,Job Security,"Promotions / Appraisal, Work Life Balance, Company Culture"
ApplyBoard,3.2,93,Internet,Gurgaon / Gurugram +7 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Nimap Infotech,3.6,94,IT Services & Consulting,Mumbai +3 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
4i apps solutions,4.4,93,IT Services & Consulting,Chennai +1 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Caterpillar Signs,3.4,93,Printing & Publishing,Ahmedabad +3 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance"
CodSoft,4.0,93,New Delhi +12 other locations,Unknown,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Numero Uno Clothing,4.1,93,Fashion & Textile,Gurgaon / Gurugram +26 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Gala Precision Engineering Limited,4.1,93,Engineering & Construction,Mumbai +8 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Jekson Vision,4.1,93,IT Services & Consulting,Ahmedabad +6 other locations,"Job Security, Work Life Balance, Salary & Benefits",None
Impulse,3.9,93,IT Services & Consulting,Gurgaon / Gurugram +13 other locations,"Work Life Balance, Skill Development / Learning, Job Security",None
Setco Automotive,4.0,93,Auto Components,Vadodara +14 other locations,"Work Life Balance, Salary & Benefits",None
Videocon Telecommunications,4.0,93,Telecom,Chandigarh +35 other locations,"Work Satisfaction, Skill Development / Learning",Salary & Benefits
